iter	RMSE
0	5.784804581
1	5.730908498
2	5.677591758
3	5.624826429
4	5.572507042
5	5.520880439
6	5.469811959
7	5.419288238
8	5.369303103
9	5.319709937
10	5.270802641
11	5.222401967
12	5.174441812
13	5.12711388
14	5.080299899
15	5.033880255
16	4.98806914
17	4.942764195
18	4.897937228
19	4.853535983
20	4.809670825
21	4.766297499
22	4.723424836
23	4.680952013
24	4.638998083
25	4.597517701
26	4.556489761
27	4.515912213
28	4.475763196
29	4.436067791
30	4.396828239
31	4.358027251
32	4.319627609
33	4.281466929
34	4.243952353
35	4.206839714
36	4.170174076
37	4.13383468
38	4.097988883
39	4.062516359
40	4.027468455
41	3.992833271
42	3.958495918
43	3.92454706
44	3.890578217
45	3.857491385
46	3.824786387
47	3.792414005
48	3.760440889
49	3.728702864
50	3.697472197
51	3.666613763
52	3.636107402
53	3.605944756
54	3.576157435
55	3.546643791
56	3.51725012
57	3.488493001
58	3.459976123
59	3.431901013
60	3.404159463
61	3.37661736
62	3.349503574
63	3.322416238
64	3.295961094
65	3.2698035
66	3.243982327
67	3.218491608
68	3.193213961
69	3.168321976
70	3.143728403
71	3.119421476
72	3.095430931
73	3.071742865
74	3.048266153
75	3.025048677
76	3.002229417
77	2.979302545
78	2.957017803
79	2.934959054
80	2.9130918
81	2.891555298
82	2.870076561
83	2.849072761
84	2.828452086
85	2.808087494
86	2.787995506
87	2.768023969
88	2.748114573
89	2.728689209
90	2.709586678
91	2.690722977
92	2.672117136
93	2.653614289
94	2.635473539
95	2.617566001
96	2.599673113
97	2.582253319
98	2.56497744
99	2.548015506
100	2.531257903
101	2.514738147
102	2.498354799
103	2.48231084
104	2.466470126
105	2.450826705
106	2.435378378
107	2.420158961
108	2.404933755
109	2.38981059
110	2.375163787
111	2.360754721
112	2.34647429
113	2.332494635
114	2.318690513
115	2.305073577
116	2.291008595
117	2.27776022
118	2.264662524
119	2.251821137
120	2.239103822
121	2.226602863
122	2.213823667
123	2.201270889
124	2.189288188
125	2.177285297
126	2.165681629
127	2.15375176
128	2.142448844
129	2.130747369
130	2.119763582
131	2.10895447
132	2.098079957
133	2.087550851
134	2.076911484
135	2.066692165
136	2.05649831
137	2.046610318
138	2.036862282
139	2.027209836
140	2.017434457
141	2.008074311
142	1.998684452
143	1.989582591
144	1.980162912
145	1.971360442
146	1.962738942
147	1.953748275
148	1.945225016
149	1.937019594
150	1.928386671
151	1.920219779
152	1.912275255
153	1.904280177
154	1.896064427
155	1.888454003
156	1.881099893
157	1.873774234
158	1.866606435
159	1.859463934
160	1.852234518
161	1.84507942
162	1.837803443
163	1.830738667
164	1.823985791
165	1.817257949
166	1.810512502
167	1.80401024
168	1.79777621
169	1.79134021
170	1.785243222
171	1.778975213
172	1.772881359
173	1.766883164
174	1.76116635
175	1.755238082
176	1.749609102
177	1.744261032
178	1.738961352
179	1.733735664
180	1.728599767
181	1.723350298
182	1.71790937
183	1.712958417
184	1.708319022
185	1.703416209
186	1.698247716
187	1.693047529
