iter	Passed	Remaining
0	71	214769
1	150	224868
2	224	224730
3	296	221729
4	359	215507
5	420	209767
6	474	202688
7	525	196612
8	573	190722
9	621	185956
10	666	181084
11	710	176820
12	753	173028
13	795	169668
14	838	166903
15	881	164446
16	923	161993
17	964	159833
18	1007	158020
19	1049	156444
20	1092	154947
21	1134	153592
22	1175	152115
23	1217	150913
24	1260	149988
25	1302	148975
26	1343	147988
27	1386	147185
28	1430	146515
29	1472	145759
30	1514	145027
31	1555	144288
32	1597	143653
33	1639	142983
34	1681	142414
35	1724	141951
36	1765	141386
37	1807	140925
38	1849	140399
39	1890	139899
40	1930	139319
41	1968	138667
42	2008	138101
43	2046	137504
44	2087	137105
45	2126	136571
46	2164	136013
47	2203	135535
48	2242	135058
49	2283	134725
50	2322	134280
51	2361	133882
52	2404	133695
53	2444	133363
54	2484	133020
55	2523	132642
56	2561	132254
57	2599	131858
58	2638	131520
59	2677	131187
60	2714	130793
61	2752	130451
62	2793	130232
63	2831	129908
64	2871	129648
65	2910	129392
66	2948	129092
67	2986	128754
68	3024	128468
69	3062	128206
70	3100	127922
71	3139	127674
72	3177	127402
73	3216	127176
74	3255	126948
75	3293	126727
76	3333	126538
77	3373	126380
78	3411	126153
79	3452	126018
80	3493	125880
81	3533	125750
82	3572	125557
83	3610	125334
84	3647	125094
85	3685	124882
86	3722	124644
87	3760	124447
88	3801	124328
89	3840	124185
90	3879	124009
91	3917	123811
92	3955	123640
93	3993	123456
94	4033	123325
95	4074	123260
96	4115	123176
97	4154	123033
98	4196	122960
99	4237	122874
100	4276	122745
101	4316	122632
102	4355	122491
103	4393	122334
104	4429	122137
105	4467	121973
106	4509	121917
107	4547	121780
108	4586	121634
109	4622	121456
110	4660	121302
111	4699	121175
112	4739	121083
113	4781	121036
114	4822	120973
115	4861	120871
116	4900	120760
117	4941	120682
118	4986	120715
119	5027	120659
120	5066	120552
121	5105	120436
122	5145	120343
123	5184	120244
124	5222	120120
125	5261	120005
126	5298	119868
127	5337	119754
128	5375	119634
129	5413	119519
130	5451	119400
131	5489	119282
132	5527	119148
133	5566	119050
134	5605	118962
135	5643	118845
136	5681	118739
137	5720	118630
138	5758	118525
139	5798	118463
140	5838	118378
141	5876	118268
142	5914	118164
143	5952	118049
144	5991	117962
145	6030	117887
146	6072	117848
147	6112	117796
148	6153	117747
149	6192	117663
150	6231	117572
151	6272	117518
152	6311	117440
153	6350	117352
154	6388	117256
155	6426	117155
156	6464	117065
157	6502	116969
158	6541	116879
159	6579	116787
160	6617	116694
161	6655	116597
162	6694	116514
163	6734	116450
164	6775	116415
165	6816	116364
166	6854	116276
167	6891	116178
168	6931	116119
169	6970	116041
170	7010	115976
171	7048	115890
172	7086	115796
173	7124	115714
174	7162	115629
175	7201	115547
176	7238	115455
177	7277	115376
178	7316	115311
179	7355	115236
180	7393	115145
181	7431	115058
182	7470	114990
183	7507	114904
184	7547	114845
185	7587	114793
186	7625	114715
187	7663	114623
188	7702	114556
189	7742	114507
190	7781	114443
191	7819	114362
192	7858	114292
193	7896	114217
194	7934	114136
195	7974	114080
196	8013	114026
197	8052	113957
198	8090	113881
199	8129	113806
200	8168	113743
201	8208	113699
202	8247	113636
203	8285	113560
204	8323	113488
205	8360	113400
206	8398	113323
207	8437	113258
208	8477	113214
209	8516	113145
210	8554	113077
211	8593	113010
212	8630	112931
213	8668	112855
214	8706	112777
215	8746	112726
216	8787	112697
217	8825	112625
218	8863	112560
219	8904	112519
220	8943	112457
221	8981	112395
222	9018	112308
223	9057	112242
224	9094	112170
225	9134	112125
226	9174	112069
227	9212	112001
228	9250	111939
229	9289	111875
230	9328	111815
231	9367	111762
232	9405	111695
233	9443	111627
234	9481	111561
235	9519	111491
236	9557	111426
237	9597	111378
238	9641	111384
239	9685	111377
240	9727	111366
241	9771	111357
242	9811	111316
243	9850	111260
244	9889	111201
245	9927	111137
246	9965	111069
247	10004	111014
248	10044	110969
249	10081	110894
250	10119	110834
251	10156	110758
252	10195	110697
253	10233	110635
254	10273	110594
255	10313	110545
256	10354	110510
257	10392	110447
258	10430	110382
259	10467	110314
260	10505	110251
261	10545	110202
262	10584	110147
263	10622	110085
264	10661	110035
265	10700	109981
266	10741	109951
267	10780	109892
268	10817	109826
269	10856	109769
270	10895	109720
271	10934	109666
272	10974	109626
273	11014	109577
274	11054	109543
275	11093	109485
276	11132	109431
277	11170	109370
278	11208	109311
279	11245	109238
280	11283	109181
281	11321	109119
282	11360	109071
283	11398	109007
284	11437	108961
285	11476	108910
286	11515	108852
287	11552	108789
288	11592	108740
289	11629	108672
290	11667	108615
291	11704	108551
292	11745	108518
293	11785	108471
294	11824	108425
295	11862	108363
296	11900	108308
297	11938	108248
298	11976	108186
299	12014	108127
300	12053	108084
301	12092	108031
302	12130	107970
303	12167	107909
304	12205	107848
305	12244	107801
306	12284	107760
307	12324	107716
308	12362	107666
309	12401	107611
310	12438	107549
311	12478	107507
312	12517	107459
313	12555	107405
314	12593	107345
315	12632	107295
316	12671	107245
317	12710	107199
318	12749	107154
319	12788	107100
320	12826	107047
321	12865	107003
322	12904	106955
323	12943	106899
324	12981	106849
325	13019	106792
326	13057	106735
327	13095	106682
328	13134	106636
329	13173	106588
330	13212	106537
331	13249	106478
332	13288	106426
333	13328	106388
334	13367	106343
335	13406	106290
336	13444	106236
337	13482	106180
338	13520	106131
339	13559	106086
340	13599	106044
341	13637	105992
342	13675	105937
343	13715	105896
344	13754	105850
345	13792	105796
346	13832	105759
347	13871	105707
348	13909	105655
349	13947	105603
350	13985	105551
351	14024	105502
352	14065	105472
353	14104	105427
354	14143	105375
355	14181	105324
356	14219	105272
357	14257	105221
358	14296	105174
359	14334	105121
360	14373	105071
361	14411	105022
362	14450	104972
363	14488	104921
364	14528	104881
365	14565	104826
366	14604	104781
367	14643	104729
368	14680	104676
369	14720	104638
370	14760	104593
