,CV0,CV1,CV2,CV3,CV4
性别,0,0,0,0,0
低密度脂蛋白胆固醇*血小板体积分布宽度,0,0,0,0,0
低密度脂蛋白胆固醇*中性粒细胞%,0,0,0,0,0
低密度脂蛋白胆固醇*淋巴细胞%,0,0,0,0,0
低密度脂蛋白胆固醇*单核细胞%,0,0,1,2,0
低密度脂蛋白胆固醇*嗜酸细胞%,0,0,0,0,0
低密度脂蛋白胆固醇*嗜碱细胞%,0,0,0,0,0
低密度脂蛋白胆固醇*血小板平均体积,0,0,0,0,0
尿素*肌酐,0,0,1,0,0
尿素*白细胞计数,0,0,0,2,0
尿素*红细胞计数,0,0,0,0,0
尿素*血红蛋白,0,0,0,0,0
尿素*红细胞压积,0,0,0,0,0
尿素*红细胞平均体积,0,0,0,0,0
尿素*红细胞平均血红蛋白量,0,0,0,0,0
尿素*尿酸,0,0,0,0,0
低密度脂蛋白胆固醇*血小板计数,0,0,0,0,0
低密度脂蛋白胆固醇*红细胞体积分布宽度,0,2,0,0,0
低密度脂蛋白胆固醇*红细胞平均血红蛋白浓度,0,0,0,1,0
高密度脂蛋白胆固醇*血小板平均体积,0,0,0,0,0
高密度脂蛋白胆固醇*血小板体积分布宽度,0,1,1,1,0
高密度脂蛋白胆固醇*血小板比积,0,0,0,0,0
高密度脂蛋白胆固醇*中性粒细胞%,0,0,0,0,0
高密度脂蛋白胆固醇*淋巴细胞%,0,0,0,0,0
高密度脂蛋白胆固醇*嗜酸细胞%,0,0,0,0,0
高密度脂蛋白胆固醇*嗜碱细胞%,0,0,1,0,0
低密度脂蛋白胆固醇*尿素,0,0,0,0,0
低密度脂蛋白胆固醇*肌酐,0,0,0,0,0
低密度脂蛋白胆固醇*尿酸,0,0,0,0,0
低密度脂蛋白胆固醇*白细胞计数,0,0,0,0,0
低密度脂蛋白胆固醇*红细胞计数,0,0,0,0,0
低密度脂蛋白胆固醇*红细胞压积,0,0,0,0,0
低密度脂蛋白胆固醇*红细胞平均体积,0,0,0,0,0
低密度脂蛋白胆固醇*红细胞平均血红蛋白量,0,0,0,0,0
尿素*红细胞平均血红蛋白浓度,0,0,0,0,0
尿素*红细胞体积分布宽度,0,0,1,0,0
尿素*血小板计数,0,0,0,0,0
尿素*血小板平均体积,0,0,0,0,0
肌酐*嗜酸细胞%,0,0,0,0,0
肌酐*嗜碱细胞%,0,0,0,0,0
尿酸*红细胞计数,0,0,0,0,0
尿酸*血红蛋白,0,0,0,0,0
尿酸*红细胞压积,0,0,0,0,0
尿酸*红细胞平均体积,0,0,0,0,0
尿酸*红细胞平均血红蛋白量,0,0,0,0,0
尿酸*红细胞体积分布宽度,0,0,0,0,0
尿酸*血小板计数,0,0,0,0,0
尿酸*血小板平均体积,0,0,0,0,0
尿酸*血小板比积,0,0,0,0,0
尿酸*中性粒细胞%,0,0,0,0,1
尿酸*淋巴细胞%,0,0,0,0,0
尿酸*单核细胞%,0,0,0,0,0
尿酸*嗜酸细胞%,0,0,0,0,0
肌酐*淋巴细胞%,0,0,0,0,0
高密度脂蛋白胆固醇*红细胞体积分布宽度,0,1,0,1,0
肌酐*中性粒细胞%,0,0,0,0,0
肌酐*血小板体积分布宽度,0,0,0,0,0
尿素*血小板体积分布宽度,0,0,0,0,1
尿素*血小板比积,0,1,0,0,0
尿素*中性粒细胞%,0,0,0,0,0
尿素*淋巴细胞%,0,0,0,0,0
尿素*单核细胞%,0,0,1,0,0
尿素*嗜酸细胞%,0,0,0,0,0
尿素*嗜碱细胞%,0,0,1,0,0
肌酐*尿酸,0,0,0,0,0
肌酐*白细胞计数,0,0,0,0,0
肌酐*红细胞计数,0,0,0,0,0
肌酐*红细胞压积,0,0,0,0,0
肌酐*红细胞平均体积,0,0,0,0,0
肌酐*红细胞平均血红蛋白量,0,0,0,0,0
肌酐*红细胞体积分布宽度,0,0,1,1,0
肌酐*血小板计数,0,0,0,0,0
肌酐*血小板比积,0,0,0,0,0
高密度脂蛋白胆固醇*红细胞平均血红蛋白浓度,0,0,0,0,1
高密度脂蛋白胆固醇*红细胞平均血红蛋白量,0,0,0,0,0
高密度脂蛋白胆固醇*红细胞平均体积,0,0,0,0,0
白球比例*单核细胞%,0,1,0,0,0
白球比例*嗜酸细胞%,0,0,0,0,0
白球比例*嗜碱细胞%,0,0,0,0,0
甘油三酯*总胆固醇,0,0,0,0,0
甘油三酯*高密度脂蛋白胆固醇,0,0,0,0,0
甘油三酯*低密度脂蛋白胆固醇,0,0,0,0,0
甘油三酯*尿素,0,0,0,0,0
甘油三酯*肌酐,0,0,0,0,0
甘油三酯*尿酸,0,0,0,0,0
甘油三酯*白细胞计数,0,0,0,0,0
甘油三酯*红细胞计数,0,0,0,0,0
甘油三酯*血红蛋白,0,0,0,0,0
甘油三酯*红细胞压积,0,0,0,0,0
甘油三酯*红细胞平均体积,0,0,0,0,0
甘油三酯*红细胞平均血红蛋白量,0,0,0,0,0
白球比例*淋巴细胞%,0,0,0,0,0
甘油三酯*红细胞平均血红蛋白浓度,0,0,0,0,0
白球比例*中性粒细胞%,0,1,0,0,0
白球比例*血小板平均体积,0,0,0,0,1
*球蛋白*嗜酸细胞%,0,0,0,0,0
*球蛋白*嗜碱细胞%,0,0,0,0,0
白球比例*甘油三酯,0,0,0,0,0
白球比例*总胆固醇,0,0,0,0,0
白球比例*尿素,0,0,0,0,0
白球比例*肌酐,0,1,0,0,0
白球比例*白细胞计数,0,0,0,0,0
白球比例*红细胞计数,0,0,0,0,0
白球比例*血红蛋白,0,0,0,0,0
白球比例*红细胞压积,0,0,0,0,0
白球比例*红细胞平均体积,0,0,0,0,0
白球比例*红细胞平均血红蛋白量,0,0,0,0,0
log_嗜酸细胞%,0,0,0,0,0
白球比例*红细胞体积分布宽度,0,0,0,0,0
白球比例*血小板计数,0,0,0,0,1
白球比例*血小板比积,0,0,0,0,0
尿酸*嗜碱细胞%,0,0,0,0,0
甘油三酯*红细胞体积分布宽度,0,0,0,0,0
甘油三酯*血小板平均体积,0,0,0,0,0
总胆固醇*血小板平均体积,0,0,1,0,0
总胆固醇*血小板比积,0,0,0,0,0
总胆固醇*中性粒细胞%,0,0,0,1,1
总胆固醇*淋巴细胞%,0,0,0,0,0
总胆固醇*单核细胞%,0,1,0,0,0
总胆固醇*嗜酸细胞%,0,0,0,0,0
总胆固醇*嗜碱细胞%,0,0,0,0,0
高密度脂蛋白胆固醇*低密度脂蛋白胆固醇,0,0,0,0,0
高密度脂蛋白胆固醇*尿素,0,0,0,1,0
高密度脂蛋白胆固醇*肌酐,0,0,0,0,0
高密度脂蛋白胆固醇*尿酸,0,0,0,0,0
高密度脂蛋白胆固醇*白细胞计数,0,0,0,0,0
高密度脂蛋白胆固醇*红细胞计数,0,0,0,0,0
高密度脂蛋白胆固醇*血红蛋白,0,0,0,0,0
高密度脂蛋白胆固醇*红细胞压积,0,1,0,0,0
总胆固醇*血小板计数,0,0,0,0,0
甘油三酯*血小板计数,0,0,0,0,0
总胆固醇*红细胞体积分布宽度,0,0,1,1,0
总胆固醇*红细胞平均体积,0,0,0,0,0
甘油三酯*血小板体积分布宽度,0,0,0,0,0
甘油三酯*血小板比积,0,0,0,0,0
甘油三酯*中性粒细胞%,0,0,0,0,0
甘油三酯*淋巴细胞%,0,0,0,0,0
甘油三酯*单核细胞%,0,0,0,1,1
甘油三酯*嗜酸细胞%,0,0,0,0,0
总胆固醇*高密度脂蛋白胆固醇,0,0,0,0,0
总胆固醇*低密度脂蛋白胆固醇,0,0,0,0,0
总胆固醇*尿素,0,0,0,0,0
总胆固醇*肌酐,0,0,0,0,0
总胆固醇*尿酸,0,0,0,0,0
总胆固醇*白细胞计数,0,0,0,0,0
总胆固醇*红细胞计数,0,0,0,0,1
总胆固醇*血红蛋白,0,0,0,0,0
总胆固醇*红细胞压积,0,0,0,1,0
总胆固醇*红细胞平均血红蛋白量,0,0,0,0,0
*球蛋白*单核细胞%,0,1,0,0,0
白细胞计数*红细胞计数,0,0,0,0,0
白细胞计数*红细胞压积,0,0,0,0,0
血小板平均体积*血小板比积,0,0,0,0,0
血小板平均体积*中性粒细胞%,0,0,0,0,0
血小板平均体积*单核细胞%,0,0,0,0,0
血小板平均体积*嗜酸细胞%,0,0,0,1,0
血小板平均体积*嗜碱细胞%,0,0,0,0,0
血小板体积分布宽度*血小板比积,0,0,0,0,0
血小板平均体积*血小板体积分布宽度,0,0,1,0,0
血小板体积分布宽度*中性粒细胞%,0,0,0,0,0
血小板体积分布宽度*单核细胞%,0,0,0,0,0
血小板体积分布宽度*嗜酸细胞%,0,0,1,0,0
血小板体积分布宽度*嗜碱细胞%,0,0,0,0,0
血小板比积*中性粒细胞%,0,0,0,0,0
血小板比积*淋巴细胞%,0,0,0,0,1
血小板比积*单核细胞%,0,0,0,0,0
血小板体积分布宽度*淋巴细胞%,0,1,0,0,0
血小板计数*嗜酸细胞%,0,0,0,0,0
血小板计数*单核细胞%,0,0,0,0,0
血小板计数*中性粒细胞%,0,0,0,0,1
红细胞平均血红蛋白浓度*单核细胞%,0,0,0,0,0
红细胞平均血红蛋白浓度*嗜酸细胞%,0,0,0,0,0
红细胞平均血红蛋白浓度*嗜碱细胞%,0,0,0,0,0
红细胞体积分布宽度*血小板计数,0,0,1,0,0
红细胞体积分布宽度*血小板平均体积,0,0,0,0,0
红细胞体积分布宽度*血小板体积分布宽度,0,0,0,1,0
红细胞体积分布宽度*血小板比积,0,0,0,0,0
红细胞体积分布宽度*中性粒细胞%,0,0,0,0,0
红细胞体积分布宽度*淋巴细胞%,0,0,0,0,0
红细胞体积分布宽度*单核细胞%,0,0,0,0,0
红细胞体积分布宽度*嗜酸细胞%,0,0,0,0,0
红细胞体积分布宽度*嗜碱细胞%,0,0,0,0,0
血小板计数*血小板平均体积,0,0,0,0,0
血小板计数*血小板体积分布宽度,0,0,0,0,0
血小板计数*血小板比积,0,0,0,0,0
血小板比积*嗜酸细胞%,0,0,0,0,0
血小板比积*嗜碱细胞%,0,0,1,0,0
中性粒细胞%*淋巴细胞%,0,0,0,0,1
中性粒细胞%*单核细胞%,0,0,0,1,0
log_尿素,0,0,0,1,0
log_红细胞计数,0,0,0,0,0
log_血红蛋白,0,0,0,0,0
log_红细胞压积,0,0,0,0,0
log_红细胞平均体积,0,0,0,1,0
log_红细胞平均血红蛋白量,0,0,0,0,0
log_红细胞平均血红蛋白浓度,0,0,0,0,0
log_红细胞体积分布宽度,0,0,0,0,0
log_血小板计数,0,0,0,0,0
log_血小板平均体积,0,0,0,0,0
log_血小板体积分布宽度,0,0,0,0,0
log_血小板比积,0,1,0,0,0
log_中性粒细胞%,0,0,0,0,0
log_淋巴细胞%,0,0,0,0,0
log_单核细胞%,0,0,0,0,0
