,CV0,CV1,CV2,CV3,CV4
log_嗜碱细胞%,0,1,1,2,1
红细胞平均体积*嗜酸细胞%,0,5,1,1,4
年龄*红细胞平均血红蛋白浓度,0,3,2,0,8
红细胞平均血红蛋白浓度*嗜酸细胞%,0,3,2,1,1
低密度脂蛋白胆固醇*红细胞压积,0,5,8,0,2
血小板计数*血小板比积,0,3,6,4,4
*r-谷氨酰基转换酶**总蛋白,0,5,7,1,0
白蛋白*甘油三酯,1,0,6,6,3
*总蛋白*甘油三酯,1,9,3,4,3
*总蛋白*嗜酸细胞%,1,2,4,1,1
*丙氨酸氨基转换酶*红细胞平均血红蛋白浓度,1,5,2,3,3
log_单核细胞%,1,3,4,2,2
*丙氨酸氨基转换酶*白蛋白,2,4,4,3,3
log_肌酐,2,7,8,4,0
log_白球比例,2,0,0,1,0
血小板平均体积*嗜碱细胞%,2,4,9,7,14
白蛋白*嗜酸细胞%,2,4,2,2,0
*总蛋白*低密度脂蛋白胆固醇,2,0,11,1,4
白蛋白*低密度脂蛋白胆固醇,2,1,13,3,2
血小板计数*血小板平均体积,3,2,10,3,10
*r-谷氨酰基转换酶*血小板平均体积,3,4,6,7,18
血红蛋白*嗜酸细胞%,3,2,2,1,1
低密度脂蛋白胆固醇*红细胞平均体积,3,1,8,1,4
总胆固醇*低密度脂蛋白胆固醇,3,8,4,3,0
红细胞压积*嗜酸细胞%,3,3,0,1,2
白球比例*嗜酸细胞%,3,9,9,7,3
低密度脂蛋白胆固醇*红细胞计数,3,8,9,0,2
*r-谷氨酰基转换酶*红细胞平均体积,3,0,5,0,7
*r-谷氨酰基转换酶*红细胞压积,3,2,4,3,0
甘油三酯*红细胞计数,3,3,12,5,2
红细胞计数*嗜酸细胞%,3,1,4,3,6
红细胞平均血红蛋白量*嗜酸细胞%,3,2,2,1,3
log_嗜酸细胞%,3,1,1,2,2
甘油三酯*红细胞平均血红蛋白量,3,1,2,2,1
*丙氨酸氨基转换酶*血红蛋白,3,5,1,2,3
红细胞平均血红蛋白浓度*淋巴细胞%,4,10,9,7,12
总胆固醇*嗜酸细胞%,4,7,14,2,10
总胆固醇*红细胞压积,4,5,11,5,10
甘油三酯*总胆固醇,4,4,10,6,8
红细胞平均血红蛋白浓度*嗜碱细胞%,4,2,4,1,5
低密度脂蛋白胆固醇*中性粒细胞%,4,16,9,6,4
低密度脂蛋白胆固醇*红细胞平均血红蛋白浓度,4,1,10,5,8
总胆固醇*血红蛋白,4,6,8,3,5
